system,sid,result,prefRes,comment
EXP-RANK,11482381,"[6, 6, 4, 4, 2]",oak bistro,thank you
EXP-RANK,36612384,"[6, 5, 5, 6, 6]",La Margherita,The chatbot is humanlike and I felt like talking to a human.
EXP-RANK,48952387,"[6, 6, 6, 6, 6]",The Oak Bistro,The chatbot was very competent and friendly.
EXP-RANK,37462390,"[6, 6, 6, 6, 6]",El mexicana,Chat bot was able to provide relevant results. Chat bot understood what I was looking for. Chat bot responded in a timely manner. Chat bot was helpful and provided me with the address when I asked for it. Chat bot was able to provide me at least 3 different results.
EXP-RANK,52762395,"[5, 5, 5, 4, 5]",Tradizioni,Thank you for the opportunity
EXP-RANK,28262398,"[6, 6, 6, 6, 6]",Nanna Mexico,-
EXP-RANK,13362397,"[6, 3, 6, 6, 6]",Eko Kitchen,The chatbot was very efficient.
EXP-RANK,48262400,"[4, 5, 6, 5, 5]",Loch Fyne,-
EXP-RANK,14362401,"[4, 4, 3, 2, 2]",Bedouin,-
EXP-RANK,38152415,"[3, 4, 3, 3, 4]",La Mimosa,It is good
EXP-RANK,46942416,"[5, 6, 6, 6, 6]",The Oak Bistro,-
EXP-RANK,22992417,"[5, 4, 4, 3, 4]",Tradizioni,-
EXP-RANK,57892418,"[6, 6, 6, 6, 6]",Galleria Restaurant,-
EXP-RANK,58102421,"[5, 5, 3, 2, 1]",The Sea Tree,No comments.
EXP-RANK,12742423,"[3, 4, 3, 3, 3]",cafe rouge,Cannot beat a real person to answer the phone
EXP-RANK,22922427,"[6, 5, 5, 4, 5]",Loch Fyne,-
EXP-RANK,29052428,"[5, 5, 4, 4, 4]",Franco Manca Cambridge,None.
EXP-RANK,31942426,"[6, 6, 6, 4, 6]",YamYam To Go,"Bot understood both Thai restaurants and my desire to find cheap Thai, and did that quickly and efficiently."
EXP-RANK,52702429,"[5, 5, 2, 3, 2]",Las Iguanas,-
EXP-RANK,33832431,"[5, 4, 5, 5, 4]",tradizioni,-
EXP-RANK,10072436,"[6, 5, 5, 5, 5]",The Oak Bistro,"Bot's recommendations seemed random at first, but then it started mentioning romantic atmosphere, which is what I was looking for. Found exactly what I wanted."
EXP-RANK,56302438,"[6, 6, 4, 3, 5]",Gattuso's Trattoria Pizzeria,"Bot didn't understand all of my questions, but did know I was looking for pasta, and helped me find a good restaurant that is known to serve pasta."
EXP-RANK,38812439,"[6, 6, 6, 6, 6]",The Ivy Cambridge Brasserie,-
EXP-RANK,30012441,"[6, 6, 4, 5, 4]",Arts Picturehouse,None.
EXP-RANK,44932443,"[6, 6, 6, 6, 6]",Pho,-
EXP-RANK,33552444,"[6, 6, 6, 5, 5]",The Dumpling Tree Bar & Restaurant,Went well.
EXP-RANK,41842445,"[3, 2, 1, 1, 1]",Pipasha,I asked about a buffet option and the bot did not understand or reply to the inquiry. A Google search is better.
EXP-RANK,51292461,"[4, 5, 1, 2, 1]",Tradizioni,"It seemed incapable of going back to previous restaurants. Once I got a restaurant name, I either had to completely skip it or only ask questions about that restaurant."
EXP-RANK,57332469,"[6, 6, 5, 4, 6]",Butch Annies,-
EXP-RANK,28082470,"[6, 6, 6, 6, 6]",Zizzi - Cambridge,-
EXP-RANK,10252472,"[6, 6, 6, 3, 6]",Nanna Mexico,-
EXP-RANK,25012481,"[4, 5, 3, 4, 3]",Seven Days,Chatbot did not give the address of my preferred restaurant.
EXP-RANK,52882482,"[6, 6, 6, 6, 6]",Honest Burgers,-
EXP-RANK,50562483,"[5, 5, 5, 5, 5]",Cambridge,-
EXP-RANK,24552484,"[4, 3, 3, 2, 3]",Wildwood Restaurant,-
EXP-RANK,26732487,"[6, 6, 6, 6, 6]",Zizzi,-
EXP-RANK,10182490,"[6, 6, 6, 6, 6]",SmokeWorks,-
EXP-RANK,53922494,"[6, 6, 6, 6, 5]",Yim Wah Express,-
EXP-RANK,59852493,"[2, 2, 1, 1, 1]",Nanna Mexico,The chatbot repeatedly ignored my requests and just kept giving me the same recommendation even when it didn't fit what I wanted.
EXP-RANK,49422496,"[6, 5, 6, 5, 6]",Tradizioni,-
EXP-RANK,53492500,"[2, 5, 1, 1, 1]",River Bar Steakhouse & Grill,The chatbot was really frustrating as it just could not understand my instructions regardless of how many times I repeated them.
EXP-RANK,50932501,"[3, 5, 3, 3, 3]",Unique Grilled,Not very natural
EXP-RANK,30252495,"[6, 4, 5, 5, 6]",Rocker's Steak House,-
EXP-RANK,32542503,"[4, 4, 6, 3, 4]",Las Iguanas,-
EXP-RANK,27322504,"[6, 6, 6, 4, 5]",De Luca,156 Hills Road
EXP-RANK,47182506,"[6, 6, 6, 6, 6]",Varsity,-
EXP-RANK,11822510,"[6, 6, 6, 6, 6]",Wildwood Restaurant,-
EXP-RANK,44062512,"[4, 2, 2, 4, 2]",46458,-
EXP-RANK,31842509,"[3, 5, 4, 3, 4]",The Oak Bistro,-
EXP-RANK,10072515,"[6, 6, 6, 5, 5]",Hot Numbers Coffee,-
EXP-RANK,11282516,"[3, 2, 1, 1, 1]",Tradizioni,The system had a hard time pivoting from one question to the next in a logical manner.
EXP-RANK,39882517,"[6, 6, 5, 5, 6]",River Bar Steakhouse & Grill,-
EXP-RANK,26412519,"[6, 6, 6, 6, 6]",The Olive Grove,-
EXP-RANK,32602521,"[6, 6, 6, 6, 6]",MillWorks,-
EXP-RANK,40232526,"[6, 6, 6, 6, 6]",Bella Italia,-
EXP-RANK,33922534,"[5, 5, 4, 4, 4]",Al Chile,-
EXP-RANK,19582537,"[3, 4, 5, 5, 5]",Charlie's Coffee Company & Pizzeria,-
EXP-RANK,34322540,"[1, 2, 1, 1, 2]",Curry Queen,"Bot had a ton of misunderstandings, and I'm not entirely sure it knew not to recommend seafood. Very clunky process."
EXP-RANK,25272546,"[2, 3, 3, 2, 1]",None,-
EXP-RANK,19412547,"[5, 5, 6, 5, 6]",Al Pomodoro,-
EXP-RANK,46062549,"[6, 6, 6, 5, 5]",Cambridge Chophouse,-
EXP-RANK,31242550,"[4, 6, 6, 4, 4]",Robin Hood,-
EXP-RANK,46872551,"[5, 5, 6, 5, 4]",Taj Tandoori,-
EXP-RANK,31962556,"[3, 3, 2, 3, 1]",Cambridge Chophouse,-
EXP-RANK,58822555,"[2, 2, 2, 1, 2]",Varsity,-
EXP-RANK,42022557,"[5, 5, 5, 5, 5]",Browns-Cambridge,-
EXP-RANK,35502558,"[6, 6, 3, 3, 4]",Cafe Rouge,-
EXP-RANK,52212560,"[5, 4, 3, 4, 4]",Hakka Seafood Chinese Restaurant,-
EXP-RANK,49222561,"[2, 3, 2, 2, 1]",Las Iguanas,-
EXP-RANK,36212562,"[6, 6, 6, 6, 6]",Six,-
EXP-RANK,17122566,"[5, 4, 5, 5, 5]",Honest Burgers,-
EXP-RANK,13362567,"[3, 2, 2, 2, 1]",Little Seoul,-
EXP-RANK,26932568,"[1, 1, 1, 1, 1]",none,-
EXP-RANK,25442570,"[6, 6, 6, 6, 6]",NONE,I have worked with countless AI chats before. This chat by far was the greatest !
EXP-RANK,33702572,"[6, 6, 5, 5, 5]",River Bar Steakhouse & Grill,-
EXP-RANK,42492573,"[6, 6, 6, 5, 6]",Mai Thai Restaurant,-
EXP-RANK,31422575,"[6, 6, 5, 5, 6]",Little Seoul,-
EXP-RANK,12362576,"[6, 6, 6, 6, 6]",Seven Day,-
EXP-RANK,26302581,"[5, 4, 4, 2, 2]",Midsummer House,The chatbot didn't seem to be able to address more than one request at a time; it could not really spit out recommendations that met two requests from my instructions.
EXP-RANK,42392583,"[4, 4, 5, 4, 4]",River Bar Steakhouse & Grill,-
EXP-RANK,24402584,"[6, 6, 6, 6, 6]",,-
RAND-RANK,10682382,"[3, 3, 2, 2, 1]",La Margherita,The bot doesn't seem to respond well
RAND-RANK,22532383,"[5, 5, 3, 2, 3]",La Margherita,None.
RAND-RANK,47512393,"[4, 6, 3, 2, 2]",The Rumbles Fish Bar & Kebabs,"It's frustrating that it doesn't typically respond properly to questions about restaurants you were previously talking about.  Like, ""Tell me again about XYZ restaurant,"" it struggles with, which is annoying."
RAND-RANK,44902391,"[5, 6, 4, 2, 2]",sala thong,the system felt very close minded and i had to repeat myself or start over in order to get what i wanted.
RAND-RANK,35062394,"[5, 6, 3, 2, 3]",Dulcedo Patisserie,-
RAND-RANK,26192396,"[4, 4, 5, 5, 4]",CAmBap,-
RAND-RANK,57302399,"[4, 5, 1, 1, 1]",The Catch Fish & Chips,"The system insulted me, in addition to being frustrating to use."
RAND-RANK,32552402,"[6, 6, 4, 4, 3]",Cambridge Mill Restaurant,"It worked pretty well but insulted me, which I didn't appreciate."
RAND-RANK,10312403,"[4, 4, 2, 2, 3]",The Mitre,"The chatbox has a limited ""vocabulary"", which could be expanded to accommodate more questions."
RAND-RANK,48642405,"[6, 5, 5, 5, 4]",Travellers Rest,None.
RAND-RANK,56752407,"[6, 5, 4, 5, 5]",orchid restaurant,-
RAND-RANK,38982408,"[4, 4, 3, 1, 1]",The Willow Tree,"Bot didn't really understand simple questions, like coming back to a restaurant it originally suggested and just asking more about it. The answers also just seemed like reviews from strangers. At one point bot told me about dining at a restaurant in 2010 with its 'hubby'."
RAND-RANK,36802410,"[5, 5, 4, 4, 3]",The Roof Terrace,Still not very reliable.
RAND-RANK,25542411,"[6, 6, 6, 6, 6]",Ed's easy diner,-
