system,sid,user,intent_NLU,intent_ASU,intent_DAC,entities,sys_intent,system_utt,info
EXP-RANK,11482381,i'm looking for a cheap burger joint,-,inform,SQ,"{'pricerange': 'cheap', 'name': 'Honest Burgers Cambridge'}",inform,"Honest Burgers Cambridge is a restaurant that is cheap. Interested by this walking by earlier. Like other new places, inside the decor has exposed brickwork, but matches well with the burgers. You can type 'next option' or another query.","['Interested by this walking by earlier. Like other new places, inside the decor has exposed brickwork, but matches well with the burgers.']"
EXP-RANK,11482381,what is the address,-,request,IRq,"{'name': 'Honest Burgers Cambridge', 'addr': '1 Fisher Square Corn Exchange Street'}",answer,The address of Honest Burgers Cambridge is 1 Fisher Square Corn Exchange Street.,-
EXP-RANK,11482381,when is it usually less busy,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,11482381,are there any other restaurants,-,-,SQ,"{'pricerange': 'cheap', 'name': 'Wagamama'}",inform,Wagamama is a restaurant in the cheap price range. If you are anywhere near one of these restaurants- just go in an enjoy the experience. You can type 'next option' or another query.,['If you are anywhere near one of these restaurants- just go in an enjoy the experience.']
EXP-RANK,11482381,next option,next,-,O,"{'pricerange': 'cheap', 'name': 'Bedouin'}",inform,"Bedouin is a restaurant in the cheap price range. If you are looking for more than just a meal, then Bedouin is the place for you!","['If you are looking for more than just a meal, then Bedouin is the place for you!']"
EXP-RANK,11482381,what is the address,-,request,IRq,"{'name': 'Bedouin', 'addr': '98-100 Mill Road'}",answer,The address of Bedouin is 98-100 Mill Road.,-
EXP-RANK,11482381,next option,next,-,O,"{'pricerange': 'cheap', 'name': 'Cambridge Wine Merchants - Bridge Street Wine Bar'}",inform,Cambridge Wine Merchants - Bridge Street Wine Bar is a restaurant that is cheap. A wine shop that sells on the premises.,['A wine shop that sells on the premises']
EXP-RANK,11482381,next option,next,-,O,"{'pricerange': 'cheap', 'name': 'The Oak Bistro'}",inform,The Oak Bistro is a restaurant in the cheap price range. All too often we write reviews when we find a problem - no such thing at this restaurant.,['All too often we write reviews when we find a problem - no such thing at this restaurant.']
EXP-RANK,11482381,what kind of food is it,-,request,IRq,"{'name': 'The Oak Bistro', 'food': 'European and British'}",answer,The Oak Bistro is a restaurant that serves European and British food.,-
EXP-RANK,11482381,what's the star rating,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,11482381,what's the address,-,request,IRq,"{'name': 'The Oak Bistro', 'addr': '6 Lensfield Road'}",answer,The address of The Oak Bistro is 6 Lensfield Road.,-
EXP-RANK,11482381,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,36612384,i want an italian restaurant with medium price range and a nice environment,-,"('inform', 'inform')",SQ,"{'food': 'italian', 'pricerange': 'moderate', 'name': 'La Margherita'}",inform,"La Margherita is a moderate restaurant serving italian food. If you want authentic, reasonably priced, interesting Italian food then go here. You can type 'next option' or another query.","['If you want authentic, reasonably priced, interesting Italian food then go here.']"
EXP-RANK,36612384,next option,next,-,O,{'name': 'Tradizioni'},inform,How about Tradizioni? the best Italian food in town with extremely friendly service is recommended to book in advance value of money.,['the best Italian food in town with extremely friendly service is recommended to book in advance value of money']
EXP-RANK,36612384,next option,next,-,O,{'name': 'Bella Italia'},inform,How about Bella Italia? Atmosphere was Fantastic like a proper Italian restaurant.,['Atmosphere was Fantastic like a proper Italian restaurant.']
EXP-RANK,36612384,i'd pick la margherita. can you give me its address,-,request,IRq,"{'name': 'Bella Italia', 'addr': 'Unit 20 Cambridge Leisure Park Clifton Way Unit 20 Cambridge Leisure Park'}",answer,The address of Bella Italia is Unit 20 Cambridge Leisure Park Clifton Way Unit 20 Cambridge Leisure Park.,-
EXP-RANK,36612384,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,48952387,"hello, i have an upcoming business lunch with a few friends, can you give me some nice and cozy restaurants to go to",-,-,SQ,{'name': 'Bill’s Cambridge'},inform,I would suggest Billâ€™s Cambridge. We chose this restaurant for an evening catch up with friends in Cambridge. You can type 'next option' or another query.,['We chose this restaurant for an evening catch up with friends in Cambridge.']
EXP-RANK,48952387,next option,next,-,O,{'name': 'The Oak Bistro'},inform,"I would suggest The Oak Bistro. Went here one lunch time, a group on a business lunch.","['Went here one lunch time, a group on a business lunch.']"
EXP-RANK,48952387,next option,next,-,O,{'name': 'Galleria Restaurant'},inform,I would suggest Galleria Restaurant. Dined here on a Thursday lunchtime with some corporate guests visiting from the US.,['Dined here on a Thursday lunchtime with some corporate guests visiting from the US.']
EXP-RANK,48952387,where exactly is the oak bistro located,-,request,IRq,"{'name': 'The Oak Bistro', 'area': 'centre'}",answer,The Oak Bistro is a restaurant that is in the centre area.,-
EXP-RANK,48952387,"how about the galleria restaurant, where is it located",-,request,IRq,"{'name': 'The Oak Bistro', 'addr': '6 Lensfield Road'}",answer,The address of The Oak Bistro is 6 Lensfield Road.,-
EXP-RANK,48952387,the oak bistro would be a great choice. thank you,thanking,request,O,"{'name': 'The Oak Bistro', 'food': 'European and British'}",answer,The Oak Bistro is a restaurant serving European and British food.,-
EXP-RANK,48952387,"alright, thank you",thanking,-,O,{},acceptThanking,Happy to help.,-
EXP-RANK,48952387,<hangup>,hangup,-,-,-,acceptThanking,<hangup>,-
EXP-RANK,37462390,mexican food,-,inform,SQ,"{'food': 'mexican', 'name': 'Las Iguanas'}",inform,Las Iguanas is a restaurant serving mexican food. If you want fantastic Mexican/Brazilian and Spanish food please visit this restaurant! You can type 'next option' or another query.,['If you want fantastic Mexican/Brazilian and Spanish food please visit this restaurant!']
EXP-RANK,37462390,next option,next,-,O,{'name': 'Nanna Mexico'},inform,"How about Nanna Mexico? Mexican, Latin, Fast food, Central American, South American.","['Mexican, Latin, Fast food, Central American, South American']"
EXP-RANK,37462390,next option,next,-,O,{'name': 'El Mexicana'},inform,"I would suggest El Mexicana. Mexican, Fast food.","['Mexican, Fast food']"
EXP-RANK,37462390,what is the address for el mexicana,-,"('inform', 'request')",IRq,"{'name': 'El Mexicana', 'addr': 'Extra Motorway Services, Baldock SG7 5TR, UK'}",answer,"The address of El Mexicana is Extra Motorway Services, Baldock SG7 5TR, UK.",-
EXP-RANK,37462390,thank you,thanking,-,O,{},acceptThanking,You're welcome.,-
EXP-RANK,37462390,<hangup>,hangup,-,-,-,acceptThanking,<hangup>,-
EXP-RANK,52762395,italian restaurant,-,inform,SQ,"{'food': 'italian', 'name': 'Tradizioni'}",inform,Tradizioni is a restaurant serving italian food. Proper Italian food. You can type 'next option' or another query.,['Proper Italian food.']
EXP-RANK,52762395,pizzeria,-,inform,SQ,"{'food': 'italian', 'name': 'Franco Manca Cambridge'}",inform,Franco Manca Cambridge is a restaurant serving italian food. If you like pizza you should go here. You can type 'next option' or another query.,['If you like pizza you should go here.']
EXP-RANK,52762395,next option,next,-,O,"{'food': 'italian', 'name': 'Pizza Express'}",inform,"Pizza Express is a restaurant serving italian food. Italian, Pizza.","['Italian, Pizza']"
EXP-RANK,52762395,what is the address of tradizioni,-,request,IRq,"{'name': 'Pizza Express', 'addr': '7A Jesus Lane'}",answer,The address of Pizza Express is 7A Jesus Lane.,-
EXP-RANK,52762395,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,28262398,i need restaurant suggestions for a birthday celebration.  i would like either chinese or mexican,-,inform,SQ,"{'food': 'chinese', 'name': 'Hakka Seafood Chinese Restaurant'}",inform,Hakka Seafood Chinese Restaurant is a restaurant that serves chinese food. Found this restaurant whilst looking for a place to visit with friends for my wife's birthday. You can type 'next option' or another query.,"[""Found this restaurant whilst looking for a place to visit with friends for my wife's birthday.""]"
EXP-RANK,28262398,cost,-,request,IRq,"{'name': 'Hakka Seafood Chinese Restaurant', 'pricerange': 'expensive'}",answer,Hakka Seafood Chinese Restaurant is an expensive restaurant.,-
